Year,Team,Team Payroll (USD),Current USD
2019-20,Miami,129867871,130706462
2019-20,Milwaukee,122612183,123403921
2019-20,Minnesota,114202982,114940421
2019-20,New Orleans,117868297,118629402
2019-20,New York,100232129,100879351
2019-20,Oklahoma City,132017938,132870415
2019-20,Orlando,126095610,126909843
2019-20,Philadelphia,129912339,130751219
2019-20,Phoenix,98539675,99175970
2019-20,Portland,131979953,132832183
2019-20,Sacramento,113796966,114531782
2019-20,San Antonio,112390794,113116530
2019-20,Toronto,122463495,123254273
2019-20,Utah,118910311,119678146
2019-20,Washington,121296256,122079496
2020-21,Atlanta,118804016,118804016
2020-21,Boston,127302465,127302465
2020-21,Brooklyn,169132133,169132133
2020-21,Charlotte,108218809,108218809
2020-21,Chicago,128963580,128963580
2020-21,Cleveland,129724301,129724301
2020-21,Dallas,127507823,127507823
2020-21,Denver,129693210,129693210
2020-21,Detroit,117041599,117041599
2020-21,Golden State,171105334,171105334
2020-21,Houston,131784255,131784255
2020-21,Indiana,130237102,130237102
2020-21,LA Clippers,139722606,139722606
2020-21,LA Lakers,139334713,139334713
2020-21,Memphis,132022601,132022601
2020-21,Miami,134731235,134731235
2020-21,Milwaukee,135474029,135474029
2020-21,Minnesota,130334934,130334934
2020-21,New Orleans,133901495,133901495
2020-21,New York,102140227,102140227
2020-21,Oklahoma City,101403939,101403939
2020-21,Orlando,122072561,122072561
2020-21,Philadelphia,147825311,147825311
2020-21,Phoenix,128858241,128858241
2020-21,Portland,131904647,131904647
2020-21,Sacramento,106847430,106847430
2020-21,San Antonio,129648823,129648823
2020-21,Toronto,129131910,129131910
2020-21,Utah,136131324,136131324
2020-21,Washington,131522450,131522450
